datetime,timestamp,open,high,low,close,funding_rate,clt,leverage,entry,pos_size,change,change_pnl,funding,funding_pnl,margin,mm,mm_sl,is_liq,is_sl,fee,final_pnl
2026-01-08,1704240000,44979.7,45250.7,44895.8,45168.1,0.00021159,0.999,1,42733.9,45122.931899999996,0.05696180315861639,-0.05696180315861639,0.00010267606801741709,0.004100051647006732,0.9470853338222126,0.04995,0.0624375,False,False,0.0,0.0031000516470067307
2026-01-08,1704038400,42630.0,42700.0,42508.5,42651.9,0.00033597,0.999,1,42733.9,42609.248100000004,-0.0019188513100840316,-0.0019188513100840316,0.00016797818411866223,0.004268029831125394,1.0023515300510923,0.04995,0.0624375,False,False,0.0,0.003268029831125393
2026-01-08,1704268800,45030.5,45240.0,45023.7,45224.1,0.00017123,0.999,1,42733.9,45178.8759,0.05827223819964939,-0.05827223819964939,8.30348961632685e-05,0.004351064727288662,0.9460248513790183,0.04995,0.0624375,False,False,0.0,0.0033510647272886615
2026-01-08,1704326400,42849.5,42997.1,42756.5,42883.4,0.0001,0.999,1,42733.9,42840.5166,0.0034983935470434477,-0.0034983935470434477,4.986254016132392e-05,0.004400927267449986,1.0009034371575642,0.04995,0.0624375,False,False,0.0,0.0034009272674499855
2026-01-08,1704355200,42775.1,42978.3,42732.2,42858.7,0.0001,0.999,1,42733.9,42815.8413,0.002920398091444863,-0.002920398091444863,4.987699004771388e-05,0.0044508042574977,1.0015319381041572,0.04995,0.0624375,False,False,0.0,0.0034508042574976994
2026-01-08,1704384000,44050.4,44135.0,43773.4,43913.1,0.0001,0.999,1,42733.9,43869.1869,0.027594017864037614,-0.027594017864037614,4.926014955339906e-05,0.004500064407051099,0.976882929472486,0.04995,0.0624375,False,False,0.0,0.0035000644070510983
2026-01-08,1704412800,44143.8,44246.7,43961.0,44207.5,0.0001,0.999,1,42733.9,44163.2925,0.03448316207975398,-0.03448316207975398,4.9087920948006155e-05,0.004549152327999105,0.9700360262745197,0.04995,0.0624375,False,False,0.0,0.0035491523279991043
2026-01-08,1704441600,43769.6,43947.1,43758.5,43911.6,0.0001,0.999,1,42733.9,43867.6884,0.027558916925438517,-0.027558916925438517,4.926102707686404e-05,0.0045984133550759695,0.97701651294258,0.04995,0.0624375,False,False,0.0,0.0035984133550759686
2026-01-08,1704470400,43495.1,43593.4,43202.0,43220.8,0.0001,0.999,1,42733.9,43177.5792,0.01139376466926729,-0.01139376466926729,4.966515588326832e-05,0.0046480785109592375,0.993247561403095,0.04995,0.0624375,False,False,0.0,0.0036480785109592366
2026-01-08,1704499200,44145.3,44214.6,43966.0,44066.0,0.0001,0.999,1,42733.9,44021.934,0.031171973538572387,-0.031171973538572387,4.917070066153569e-05,0.0046972492116207736,0.9734987744474959,0.04995,0.0624375,False,False,0.0,0.0036972492116207727
2026-01-08,1704297600,43014.0,43595.9,42800.0,43009.2,0.0001,0.999,1,42733.9,42966.1908,0.006442192264221043,-0.006442192264221043,4.978894519339448e-05,0.004747038156814168,0.9983031490416348,0.04995,0.0624375,False,False,0.0,0.003747038156814167
2026-01-08,1702339200,41271.1,41790.0,41202.1,41735.4,0.0001,0.999,1,42733.9,41693.664600000004,-0.023365524794132994,-0.023365524794132994,5.0534138119853324e-05,0.004797572294934022,0.9814134609617629,0.04995,0.0624375,False,False,0.0,0.0037975722949340207
2026-01-08,1704009600,41987.1,42032.7,41570.0,41613.4,0.00034573,0.999,1,42733.9,41571.7866,-0.02622040113352631,-0.02622040113352631,0.00017495842982097353,0.004972530724754995,0.9787308604516803,0.04995,0.0624375,False,False,0.0,0.003972530724754994
2026-01-08,1703952000,41987.1,42032.7,41570.0,41613.4,0.00037842,0.999,1,42733.9,41571.7866,-0.02622040113352631,-0.02622040113352631,0.0001915013710492373,0.005164032095804232,0.9789225535157937,0.04995,0.0624375,False,False,0.0,0.0041640320958042315
2026-01-08,1703491200,43233.3,43320.0,43132.2,43144.3,0.0001,0.999,1,42733.9,43101.1557,0.009603616800713284,-0.009603616800713284,4.970990957998217e-05,0.005213742005384214,0.9956057309356064,0.04995,0.0624375,False,False,0.0,0.004213742005384213
2026-01-08,1703520000,43661.0,43761.9,43450.4,43546.6,0.00037908,0.999,1,42733.9,43503.0534,0.019017688532991302,-0.019017688532991302,0.00018754815365772841,0.005401290159041942,0.9863699715976482,0.04995,0.0624375,False,False,0.0,0.0044012901590419415
2026-01-08,1703548800,43611.9,43635.1,43425.8,43491.2,0.00043391,0.999,1,42733.9,43447.7088,0.017721293867397913,-0.017721293867397913,0.00021481568334449935,0.0056161058423864416,0.9878826946696582,0.04995,0.0624375,False,False,0.0,0.004616105842386441
2026-01-08,1703577600,42798.7,42830.9,42687.4,42736.5,0.00023757,0.999,1,42733.9,42693.7635,6.084162690506939e-05,-6.084162690506939e-05,0.00011866260146367404,0.005734768443850116,1.0056796064233682,0.04995,0.0624375,False,False,0.0,0.004734768443850115
2026-01-08,1703606400,42423.1,42470.6,42158.0,42367.4,0.00029559,0.999,1,42733.9,42325.0326,-0.008576329331046312,-0.008576329331046312,0.00014828097429674098,0.005883049418146857,0.9973040241112118,0.04995,0.0624375,False,False,0.0,0.004883049418146856
2026-01-08,1703635200,42538.6,42580.0,42383.0,42395.7,0.00027621,0.999,1,42733.9,42353.304299999996,-0.007914091622810095,-0.007914091622810095,0.00013851338281178408,0.006021562800958641,0.9981055767549035,0.04995,0.0624375,False,False,0.0,0.00502156280095864
2026-01-08,1703664000,42496.0,42795.4,42443.0,42753.6,0.00037942,0.999,1,42733.9,42710.846399999995,0.00046099232693475414,-0.00046099232693475414,0.0001894765625728286,0.0062110393635314695,1.005755802839436,0.04995,0.0624375,False,False,0.0,0.005211039363531469
2026-01-08,1703980800,41987.1,42032.7,41570.0,41613.4,0.00027855,0.999,1,42733.9,41571.7866,-0.02622040113352631,-0.02622040113352631,0.00014096164818393596,0.006352001011715405,0.9801117115897788,0.04995,0.0624375,False,False,0.0,0.005352001011715404
2026-01-08,1703692800,43010.0,43236.9,42916.0,43120.0,0.00032304,0.999,1,42733.9,43076.88,0.009034981595407826,-0.009034981595407826,0.00016062881488635488,0.00651262982660176,0.9974751233545485,0.04995,0.0624375,False,False,0.0,0.005512629826601759
2026-01-08,1703750400,43087.3,43117.7,42955.2,42968.7,0.00037879,0.999,1,42733.9,42925.7313,0.005494466922045393,-0.005494466922045393,0.0001886852927186496,0.00670131511932041,1.0012080562535286,0.04995,0.0624375,False,False,0.0,0.005701315119320409
2026-01-08,1703779200,42485.9,42619.9,42320.5,42506.9,0.00050152,0.999,1,42733.9,42464.3931,-0.005311942041330185,-0.005311942041330185,0.00025117525129314197,0.0069524903706135515,1.0016421905198032,0.04995,0.0624375,False,False,0.0,0.005952490370613551
2026-01-08,1703808000,42600.1,42729.2,42413.3,42449.4,0.0005517,0.999,1,42733.9,42406.950600000004,-0.00665747802096228,-0.00665747802096228,0.0002764923826560412,0.007228982753269593,1.0005720768091164,0.04995,0.0624375,False,False,0.0,0.006228982753269592
2026-01-08,1703836800,42314.5,42564.8,42306.8,42518.2,0.00049912,0.999,1,42733.9,42475.6818,-0.005047514970550415,-0.005047514970550415,0.00024994026891802525,0.007478923022187618,1.0024338418935306,0.04995,0.0624375,False,False,0.0,0.006478923022187617
2026-01-08,1703865600,42301.6,42389.0,41850.0,42002.9,0.00047082,0.999,1,42733.9,41960.8971,-0.01710585741062716,-0.01710585741062716,0.00023718803494651787,0.007716111057134136,0.9906008545010079,0.04995,0.0624375,False,False,0.0,0.006716111057134135
2026-01-08,1703894400,42095.1,42250.0,42038.9,42131.4,0.00033033,0.999,1,42733.9,42089.2686,-0.014098877003971085,-0.014098877003971085,0.00016616415551018045,0.007882275212644316,0.9937771753840573,0.04995,0.0624375,False,False,0.0,0.0068822752126443155
2026-01-08,1703923200,41987.1,42032.7,41570.0,41613.4,0.0004358,0.999,1,42733.9,41571.7866,-0.02622040113352631,-0.02622040113352631,0.00022053881270349773,0.008102814025347814,0.9818642771689905,0.04995,0.0624375,False,False,0.0,0.007102814025347813
2026-01-08,1703721600,43453.8,43850.0,43409.3,43600.0,0.00013021,0.999,1,42733.9,43556.4,0.020267281947119232,-0.020267281947119232,6.43801443044164e-05,0.00816719416965223,0.9878878000225556,0.04995,0.0624375,False,False,0.0,0.00716719416965223
2026-01-08,1702310400,41824.6,41892.6,41391.0,41831.1,0.0001,0.999,1,42733.9,41789.268899999995,-0.0211260849115106,-0.0211260849115106,5.047815212278777e-05,0.008217672321775019,0.9870786660763409,0.04995,0.0624375,False,False,0.0,0.007217672321775018
2026-01-08,1702281600,42128.1,42295.0,41979.1,42246.5,0.0001,0.999,1,42733.9,42204.2535,-0.011405464982133656,-0.011405464982133656,5.023513662455335e-05,0.008267907458399571,0.9968593017780439,0.04995,0.0624375,False,False,0.0,0.007267907458399571
2026-01-08,1702252800,43810.1,43833.4,43619.0,43642.3,0.0001473,0.999,1,42733.9,43598.6577,0.021257128415613866,-0.021257128415613866,7.279355624609502e-05,0.008340701014645667,0.9870706432422741,0.04995,0.0624375,False,False,0.0,0.0073407010146456664
2026-01-08,1700640000,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.008394222008634046,0.8654198823558199,0.04995,0.0624375,False,False,0.0,0.0073942220086340455
2026-01-08,1700668800,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.008447743002622425,0.8654734569243768,0.04995,0.0624375,False,False,0.0,0.007447743002622425
2026-01-08,1700697600,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.008501263996610805,0.8655270314929338,0.04995,0.0624375,False,False,0.0,0.007501263996610804
2026-01-08,1700726400,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.008554784990599184,0.8655806060614907,0.04995,0.0624375,False,False,0.0,0.007554784990599183
2026-01-08,1700755200,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.008608305984587563,0.8656341806300477,0.04995,0.0624375,False,False,0.0,0.007608305984587562
2026-01-08,1700784000,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.008661826978575942,0.8656877551986046,0.04995,0.0624375,False,False,0.0,0.007661826978575941
2026-01-08,1700812800,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.00871534797256432,0.8657413297671616,0.04995,0.0624375,False,False,0.0,0.00771534797256432
2026-01-08,1700611200,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.0087688689665527,0.8657949043357185,0.04995,0.0624375,False,False,0.0,0.007768868966552699
2026-01-08,1700841600,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.008822389960541079,0.8658484789042754,0.04995,0.0624375,False,False,0.0,0.007822389960541078
2026-01-08,1700899200,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.008875910954529458,0.8659020534728323,0.04995,0.0624375,False,False,0.0,0.007875910954529457
2026-01-08,1700928000,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.008929431948517837,0.8659556280413893,0.04995,0.0624375,False,False,0.0,0.007929431948517836
2026-01-08,1700956800,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.008982952942506216,0.8660092026099462,0.04995,0.0624375,False,False,0.0,0.007982952942506215
2026-01-08,1700985600,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.009036473936494595,0.8660627771785032,0.04995,0.0624375,False,False,0.0,0.008036473936494594
2026-01-08,1701014400,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.009089994930482974,0.8661163517470601,0.04995,0.0624375,False,False,0.0,0.008089994930482973
2026-01-08,1701043200,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.009143515924471353,0.8661699263156171,0.04995,0.0624375,False,False,0.0,0.008143515924471352
2026-01-08,1701072000,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.009197036918459732,0.866223500884174,0.04995,0.0624375,False,False,0.0,0.008197036918459731
2026-01-08,1700870400,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.009250557912448111,0.8662770754527309,0.04995,0.0624375,False,False,0.0,0.00825055791244811
2026-01-08,1701100800,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.00930407890643649,0.8663306500212878,0.04995,0.0624375,False,False,0.0,0.00830407890643649
2026-01-08,1700582400,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.00935759990042487,0.8663842245898448,0.04995,0.0624375,False,False,0.0,0.008357599900424869
2026-01-08,1700524800,36518.5,36643.5,36511.2,36629.8,0.0001,0.999,1,42733.9,36593.1702,-0.14283975953516992,-0.14283975953516992,5.352099398837925e-05,0.009411120894413249,0.8664377991584017,0.04995,0.0624375,False,False,0.0,0.008411120894413248
2026-01-08,1700064000,36412.2,36578.0,36279.1,36378.0,0.0001,0.999,1,42733.9,36341.622,-0.14873203709467195,-0.14873203709467195,5.36683009273668e-05,0.009464789195340615,0.8605933454461148,0.04995,0.0624375,False,False,0.0,0.008464789195340614
2026-01-08,1700092800,37885.5,37956.5,37700.4,37795.2,0.0001,0.999,1,42733.9,37757.4048,-0.11556867030624408,-0.11556867030624408,5.283921675765611e-05,0.00951762841209827,0.8938428009067609,0.04995,0.0624375,False,False,0.0,0.00851762841209827
2026-01-08,1700121600,37460.6,37510.9,37220.0,37327.9,0.00015199,0.999,1,42733.9,37290.572100000005,-0.1265037827111497,-0.1265037827111497,8.072583248356693e-05,0.009598354244581837,0.8829775490825147,0.04995,0.0624375,False,False,0.0,0.008598354244581836
