datetime,timestamp,open,high,low,close,funding_rate
2020-10-07 00:00:00.000,1602028800.0,340.66,340.76,338.50,339.01,-7.208e-05
2020-10-07 08:00:00.000,1602057600.0,341.03,341.80,339.31,340.04,2.716e-05
2020-10-07 16:00:00.000,1602086400.0,340.49,340.57,337.34,338.64,7.205e-05
2020-10-08 00:00:00.000,1602115200.0,341.42,342.33,339.43,339.89,0.0001
2020-10-08 08:00:00.009,1602144000.009,336.08,336.70,334.87,335.19,0.0001
2020-10-08 16:00:00.003,1602172800.003,349.23,352.89,348.91,350.65,0.0001
2020-10-09 00:00:00.001,1602201600.001,351.07,351.36,348.23,349.36,0.0001
2020-10-09 08:00:00.000,1602230400.0,350.64,351.41,350.27,351.18,0.0001
2020-10-09 16:00:00.004,1602259200.004,365.33,366.50,363.02,364.11,0.0001
2020-10-10 00:00:00.005,1602288000.005,365.03,367.89,364.71,367.09,0.0001
2020-10-10 08:00:00.000,1602316800.0,375.06,376.42,375.00,375.74,0.0001733
2020-10-10 16:00:00.011,1602345600.011,372.88,374.17,372.05,373.27,0.00027917
2020-10-11 00:00:00.002,1602374400.002,370.68,372.35,369.07,370.46,0.00011995
2020-10-11 08:00:00.003,1602403200.003,372.28,373.63,371.80,372.35,0.00013127
2020-10-11 16:00:00.004,1602432000.004,375.29,376.50,373.82,374.84,0.0001
2020-10-12 00:00:00.001,1602460800.001,374.39,374.61,372.74,374.06,0.0001
2020-10-12 08:00:00.000,1602489600.0,374.28,375.58,373.64,373.79,0.0001
2020-10-12 16:00:00.011,1602518400.011,385.85,388.51,385.11,387.15,0.0001
2020-10-13 00:00:00.003,1602547200.003,386.72,388.15,383.20,386.47,0.0002191
2020-10-13 08:00:00.000,1602576000.0,383.10,384.70,382.75,384.58,0.0001
2020-10-13 16:00:00.001,1602604800.001,379.15,380.59,377.44,380.18,0.0001
2020-10-14 00:00:00.001,1602633600.001,381.11,385.09,379.78,384.54,0.0001
2020-10-14 08:00:00.000,1602662400.0,382.43,383.25,381.58,382.73,0.0001
2020-10-14 16:00:00.001,1602691200.001,375.90,377.70,373.12,375.79,0.0001
2020-10-15 00:00:00.000,1602720000.0,378.75,379.20,377.11,377.77,0.0001
2020-10-15 08:00:00.000,1602748800.0,378.90,379.68,374.61,375.07,0.0001
2020-10-15 16:00:00.000,1602777600.0,376.63,378.51,374.00,374.91,0.0001
2020-10-16 00:00:00.002,1602806400.002,377.63,378.19,375.68,377.95,0.0001
2020-10-16 08:00:00.003,1602835200.003,368.59,371.10,367.20,368.32,0.0001
2020-10-16 16:00:00.000,1602864000.0,367.07,368.36,365.46,367.58,0.0001
2020-10-17 00:00:00.006,1602892800.006,365.42,365.95,363.19,364.36,0.0001
2020-10-17 08:00:00.007,1602921600.007,367.82,368.56,366.41,366.48,0.0001
2020-10-17 16:00:00.009,1602950400.009,367.69,368.11,365.90,366.64,0.0001
2020-10-18 00:00:00.006,1602979200.006,368.26,369.72,367.16,368.86,0.0001
2020-10-18 08:00:00.000,1603008000.0,374.10,376.50,372.12,373.43,0.0001
