datetime,timestamp,open,high,low,close,funding_rate
00:00.0,1600243200,10910.68,10925,10861,10890.95,-1.49E-05
00:00.0,1600272000,10998,11089.08,10975.09,11050,-3.20E-05
00:00.0,1600300800,10948.16,11040,10905.4,10990,-5.63E-06
00:00.0,1600329600,10878.42,10899.62,10852.01,10862.44,2.957e-05
00:00.0,1600358400,10833,10847.85,10791.82,10833.8,9.8e-07
00:00.0,1600387200,10935.97,10955.96,10881.28,10900.06,9.425e-05
00:00.0,1600416000,10948.05,10959.39,10922,10953.38,5.579e-05
00:00.0,1600444800,10892.71,10896.48,10820,10878.67,4.967e-05
00:00.0,1600473600,10926.3,10964.56,10923.05,10963.11,-0.0001155
00:00.0,1600502400,10892.63,10922.75,10880,10919.27,-0.0001098
00:00.0,1600531200,11082.99,11112.04,11052.48,11054.66,-5.75E-05
00:00.0,1600560000,11073.2,11073.9,11036.46,11049.77,-6.48E-05
00:00.0,1600588800,10956.63,10972,10946.32,10947.05,-0.00011198
00:00.0,1600617600,10829.27,10852.44,10751,10844.14,-6.63E-05
00:00.0,1600646400,10915.52,10965,10886.02,10946.63,-7.51E-05
00:00.0,1600675200,10896,10907.32,10804.27,10847.89,-0.00012071
00:00.0,1600704000,10415.61,10433.7,10352.06,10381.94,0.0001
00:00.0,1600732800,10414.73,10488.17,10353.1,10454.47,0.0001
00:00.0,1600761600,10374.23,10477.97,10373,10461.04,0.0001
00:00.0,1600790400,10448.68,10486.33,10448,10451.77,0.0001
00:00.0,1600819200,10523.32,10529,10494.41,10505.96,4.321e-05
00:00.0,1600848000,10423.77,10453.84,10398.45,10444.18,-2.60E-05
00:00.0,1600876800,10446.46,10489.73,10440.05,10480.54,-5.51E-05
00:00.0,1600905600,10237.91,10293.93,10191,10286.77,3.817e-05
00:00.0,1600934400,10335,10345,10302.71,10311.44,6.991e-05
00:00.0,1600963200,10532.65,10737,10529.25,10664.06,1.182e-05
00:00.0,1600992000,10724.91,10754.29,10686.29,10703.43,-0.00023219
00:00.0,1601020800,10682.49,10682.49,10565.66,10600.11,2.542e-05
00:00.0,1601049600,10640.81,10664,10620.4,10646.03,0.0001
00:00.0,1601078400,10683.5,10699,10646.18,10646.2,0.0001
00:00.0,1601107200,10701.39,10710,10665.49,10685.45,0.0001
00:00.0,1601136000,10718.29,10748.66,10678.03,10746.85,0.0001
00:00.0,1601164800,10726.5,10773,10719,10767.99,0.0001
00:00.0,1601193600,10667.26,10667.5,10602.76,10642.35,0.0001
00:00.0,1601222400,10749.99,10775.23,10701.23,10716.19,0.0001
00:00.0,1601251200,10768,11024,10767.99,10884.23,0.0001
00:00.0,1601280000,10852.92,10889.19,10843,10854.22,0.0001
00:00.0,1601308800,10898.97,10907.8,10870,10879.51,0.0001
00:00.0,1601337600,10691.94,10728.03,10655,10707.76,0.0001
00:00.0,1601366400,10722.01,10739.4,10710.03,10729.78,0.0001
00:00.0,1601395200,10722.49,10736.27,10661.31,10689.45,0.0001
00:00.0,1601424000,10836.99,10845.99,10804.95,10807.25,0.0001
00:00.0,1601452800,10701.6,10725.71,10682.15,10703.32,0.0001
00:00.0,1601481600,10772.64,10781.27,10751.32,10777.89,0.0001
00:00.0,1601510400,10773,10827,10773,10785.98,7.412e-05
00:00.0,1601539200,10817.82,10935.14,10807.26,10869.99,0.0001
00:00.0,1601568000,10710.36,10713,10442,10518.61,0.0001
00:00.0,1601596800,10612.62,10612.62,10577.82,10588.35,-2.63E-06
00:00.0,1601625600,10483.89,10490,10421,10449.94,-1.65E-05
00:00.0,1601654400,10507.18,10561.44,10487.86,10540,0.0001
00:00.0,1601683200,10565.44,10571.73,10526.1,10540.98,0.0001
00:00.0,1601712000,10523.49,10549.37,10493.86,10503.77,0.0001
00:00.0,1601740800,10536.95,10596,10531,10575.07,9.749e-05
00:00.0,1601769600,10537.96,10551.99,10514,10537.85,-2.14E-05
00:00.0,1601798400,10607.86,10616,10581.21,10592.93,5.039e-05
00:00.0,1601827200,10586.81,10599.36,10572.74,10595,-7.56E-06
00:00.0,1601856000,10660.16,10738.77,10651.13,10697.36,-3.38E-05
00:00.0,1601884800,10677.99,10685.99,10661.71,10665.42,-9.14E-05
00:00.0,1601913600,10718.58,10736.8,10692.49,10736.35,-6.91E-05
00:00.0,1601942400,10784.99,10792,10741,10746.81,-1.26E-06
00:00.0,1601971200,10705,10736.75,10695.49,10735.32,-8.31E-05
00:00.0,1602000000,10726.87,10743.99,10706,10717.43,6.937e-05
00:00.0,1602028800,10593.65,10600,10570.32,10586.88,5.11e-06
00:00.0,1602057600,10612.17,10619.48,10586.42,10605.67,-8.58E-06
00:00.0,1602086400,10624.87,10628.44,10593,10619.99,1.553e-05
00:00.0,1602115200,10658.75,10664.77,10634.71,10637.33,2.693e-05
00:00.0,1602144000,10586.3,10600.21,10543,10557.07,3.248e-05
00:00.0,1602172800,10892.69,10929.78,10874.75,10916.64,8.856e-05
